image_name,teacher_score,lite_nima_score,abs_diff,rel_diff_pct,teacher_time,lite_nima_time,speedup,emd,js_divergence
Screenshot_20250327_121408.png,6.219316005706787,6.409321308135986,0.19000530242919922,3.0550835856363,10.543346405029297,2.1660327911376953,4.86758392955421,0.020543754,5.682242044713348e-05
Screenshot_20250327_121411.png,5.986617088317871,6.374336242675781,0.38771915435791016,6.476431491075239,10.803937911987305,5.8994293212890625,1.83135305528613,0.039312527,0.0001941337322932668
Screenshot_20250327_121414.png,5.876667499542236,5.833853721618652,0.042813777923583984,0.7285383753108198,11.182546615600586,2.9897689819335938,3.7402711323763955,0.008814722,2.1802525225211866e-05
Screenshot_20250327_121416.png,5.384225368499756,5.5378241539001465,0.15359878540039062,2.852755501265151,11.55400276184082,1.9943714141845703,5.793305439330544,0.016193084,3.3932818041648716e-05
Screenshot_20250327_121418.png,5.251748561859131,5.5638275146484375,0.31207895278930664,5.942381839370276,12.079954147338867,3.0045509338378906,4.02055229328678,0.03154555,0.00010390382885816507
Screenshot_20250327_121427.png,6.037801742553711,6.1692023277282715,0.13140058517456055,2.1762984406802364,9.325265884399414,4.776954650878906,1.952136154921142,0.013871573,3.717486833920702e-05
Screenshot_20250327_121428.png,6.010054111480713,6.250874042510986,0.24081993103027344,4.006951128280973,10.088682174682617,4.023551940917969,2.507406968475942,0.025304802,0.00011436905697337352
Screenshot_20250327_121430.png,5.8050737380981445,6.173198699951172,0.36812496185302734,6.341434725231109,9.905099868774414,2.2706985473632812,4.362137757244855,0.0372215,0.00016968234558589756
Screenshot_20250327_121432.png,6.047487258911133,6.264980316162109,0.21749305725097656,3.596420264143505,11.620283126831055,3.152132034301758,3.686483624536722,0.02220653,7.503548840759322e-05
Screenshot_20250327_121434.png,5.907891273498535,6.027959823608398,0.12006855010986328,2.032341905959977,16.168594360351562,2.064228057861328,7.832755832755833,0.01283358,3.66066178685287e-05
