image_name,teacher_pt_time,teacher_onnx_time,teacher_speedup,teacher_score_diff,lite_pt_time,lite_onnx_time,lite_speedup,lite_score_diff
Screenshot_20250327_121408.png,38.19584846496582,3.783130645751953,10.09635987799037,1.9073486e-06,11.661672592163086,1.1989593505859375,9.726495386573337,1.4305115e-06
Screenshot_20250327_121411.png,37.851858139038086,3.128671646118164,12.098379894228279,0.0,11.059808731079102,0.9012222290039062,12.272010582010582,0.0
Screenshot_20250327_121414.png,39.7120475769043,3.1681060791015625,12.534948826008428,0.0,11.394453048706055,0.8257389068603516,13.799099151123174,2.861023e-06
Screenshot_20250327_121416.png,38.3364200592041,2.7158260345458984,14.11593363181459,1.4305115e-06,10.476875305175781,0.7985115051269531,13.120506389585573,1.4305115e-06
Screenshot_20250327_121418.png,40.49983024597168,2.6701927185058594,15.167380977892067,1.4305115e-06,10.52389144897461,0.848388671875,12.404563848920864,2.3841858e-06
Screenshot_20250327_121427.png,35.42819023132324,2.7228832244873047,13.011277866311753,4.7683716e-07,10.424280166625977,0.5996227264404297,17.384731610337973,9.536743e-07
Screenshot_20250327_121428.png,36.54642105102539,3.026151657104492,12.076863684351512,4.7683716e-07,10.71462631225586,0.812530517578125,13.186737089201879,4.7683716e-07
Screenshot_20250327_121430.png,35.199928283691406,2.769756317138672,12.708673346417381,9.536743e-07,10.674524307250977,0.6747245788574219,15.820565371024735,2.861023e-06
Screenshot_20250327_121432.png,35.62488555908203,2.7763843536376953,12.831395448690426,1.4305115e-06,11.29913330078125,0.8628368377685547,13.09533020171318,4.7683716e-07
Screenshot_20250327_121434.png,35.85505485534668,3.1394004821777344,11.420987879340199,4.7683716e-07,11.327600479125977,1.069021224975586,10.596235336098845,1.9073486e-06
